"indi","regn_nm","a_soaa","a_ug","count_n","se_munic","sug"
"URGR_001","Norway","485612092.795052","318648399.281866",9,1.78,0.6561788802412477
"URGR_001","midt_norge","70054683.7692931","46804125.7829969",1,NA,0.6681084442138672
"URGR_001","ostlandet","235511996.078317","156770311.14615",5,1.91,0.6656574346812354
"URGR_001","vestlandet","180045412.947441","115073962.352719",3,3.53,0.6391385399322085
"URGR_002","Norway","1186113498.83105","850658185.874141",74,0.79,0.717181101734773
"URGR_002","midt_norge","41697159.2848179","30208986.7296837",5,1.89,0.7244854864893151
"URGR_002","nord_norge","136288632.57344","98062336.3489586",12,1.63,0.719519555646854
"URGR_002","ostlandet","678969221.411008","493786041.485385",31,1.09,0.7272583585736292
"URGR_002","solandet","120465969.351487","85065649.3296836",6,1.83,0.7061384205649403
"URGR_002","vestlandet","208692516.2103","143535171.98043",20,1.94,0.6877830340393678
"URGR_003","Norway","1074246287.19977","886844527.165221",258,0.58,0.8255504698805622
"URGR_003","midt_norge","84518498.7665153","66630000.6949388",29,1.8,0.7883481328626771
"URGR_003","nord_norge","123147347.502015","102061466.567894",61,0.75,0.8287751919806805
"URGR_003","ostlandet","569804664.71084","486247588.200982",85,1.05,0.8533583845750713
"URGR_003","solandet","79297602.38634","66529895.0247125",19,2.05,0.8389899949380197
"URGR_003","vestlandet","217478173.834062","165375576.676694",64,1.22,0.7604237876435213
"URGR_004","Norway","2745971878.82588","2056151112.32123",341,0.53,0.748788116941823
"URGR_004","midt_norge","196270341.820626","143643113.207619",35,1.61,0.7318635708032571
"URGR_004","nord_norge","259435980.075454","200123802.916852",73,0.78,0.7713802952799702
"URGR_004","ostlandet","1484285882.20017","1136803940.83252",121,0.94,0.7658928475068604
"URGR_004","solandet","199763571.737827","151595544.354396",25,1.81,0.7588748190453488
"URGR_004","vestlandet","606216102.991803","423984711.009843",87,1.11,0.6993953293510178
